NAME.FIB	category	SIZE_FIB	NES_FIB	NOM.p.val	FDR.q.val	NAME.ESC	SIZE_ESC	NES_ESC	NOM.p.val.1	FDR.q.val.1	fib_add_esc	fib_minus_esc
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	c2.CGP_ chemical and genetic perturbations	181	2.6708176	0	0	FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	182	1.2585335	0.04969574	0.49856934	3.9293511	1.4122841
GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP	C7_ immunologic signatures	180	2.4632242	0	0	GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP	182	0.87061095	0.80061036	1	3.33383515	1.59261325
GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP	C7_ immunologic signatures	181	2.452133	0	0	GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP	183	0.7284301	0.9595551	1	3.1805631	1.7237029
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR	c2.CGP_ chemical and genetic perturbations	115	2.386002	0	0	ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR	115	0.8095835	0.8335057	1	3.1955855	1.5764185
GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP	C7_ immunologic signatures	173	2.3661048	0	0	GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP	172	-1.1617005	0	0.42770147	1.2044043	3.5278053
WU_APOPTOSIS_BY_CDKN1A_VIA_TP53	c2.CGP_ chemical and genetic perturbations	50	2.364527	0	0	WU_APOPTOSIS_BY_CDKN1A_VIA_TP53	50	1.3563555	0.05986696	0.38075727	3.7208825	1.0081715
KONG_E2F3_TARGETS	c2.CGP_ chemical and genetic perturbations	89	2.3574996	0	0	KONG_E2F3_TARGETS	89	-1.2397095	0.02	0.335616	1.1177901	3.5972091
LEE_EARLY_T_LYMPHOCYTE_UP	c2.CGP_ chemical and genetic perturbations	86	2.3532774	0	0	LEE_EARLY_T_LYMPHOCYTE_UP	87	1.0422708	0.41473684	0.85481846	3.3955482	1.3110066
GNF2_CENPF	c4.CGN_ cancer gene neighborhoods	59	2.3387566	0	0	GNF2_CENPF	59	1.2059346	0.17971334	0.5820841	3.5446912	1.132822
FISCHER_G2_M_CELL_CYCLE	c2.CGP_ chemical and genetic perturbations	212	2.337517	0	0	FISCHER_G2_M_CELL_CYCLE	212	1.4594053	0	0.28321648	3.7969223	0.8781117
GNF2_CDC20	c4.CGN_ cancer gene neighborhoods	54	2.3323674	0	0	GNF2_CDC20	54	1.3910121	0.032511212	0.34734055	3.7233795	0.9413553
GNF2_CDC2	c4.CGN_ cancer gene neighborhoods	60	2.3159914	0	0	GNF2_CDC2	60	1.1901394	0.20238096	0.6055016	3.5061308	1.125852
